"Iteration","restriction","var.Type","no.Var.Missing","miss.Rate.Y","miss.Rate.X","N","no.Var.Observed","no.Category","no.Imputation","analysis.Method","imp.Method","Imputed.Values.RMSE","Imputed.Values.Bias","Choice.Prob.RMSE","Choice.Prob.Bias","mdl.X1.coef.RMSE","mdl.X1.coef.Bias","mdl.X1.coef.MNS","mdl.Y.coef.RMSE","mdl.Y.coef.Bias","mdl.Y.coef.MNS","mdl.X1.fitted.RMSE","mdl.X1.fitted.Bias","mdl.X1.fitted.All.RMSE","mdl.X1.fitted.All.Bias","mdl.Y.fitted.RMSE","mdl.Y.fitted.Bias","mdl.Y.fitted.All.RMSE","mdl.Y.fitted.All.Bias","time.to.MI.Convergence","time.to.MI.Analyze"
1,"triangular","continuous",1,0.25,0.1,100,5,5,5,"Complete_Case_Analysis","ppd",NA,NA,NA,NA,0.141190099671868,0.0515779875146304,15.2097438167443,0.008630818213426,0.00262653392910361,0.377399651853435,0.234776641523804,0.134868807776098,NA,NA,0.0158104816370291,0.00908814335089436,NA,NA,NA,0.0699999999999932
1,"triangular","continuous",1,0.25,0.1,100,5,5,5,"Joint_MVN_MI_Amelia","ppd",0.333669762552698,0.103085852183287,NA,NA,0.196966200150064,0.0224832657473084,1.46049185508217,0.0310147849807777,0.000268938499663696,3.4158460595059,0.0851378775201995,0.0114905858876002,0.0915951007271432,0.0239638248717708,0.0331747391213986,0.0113336759865242,0.0475696388433287,0.026937068352478,0.0299999999999727,0.339999999999975
1,"triangular","continuous",1,0.25,0.1,100,5,5,5,"Joint_MVN_MI_Norm","ppd",0.363799034780594,0.0462174888279781,NA,NA,0.0819840244334918,0.0116317895098143,0.427113800077192,0.0157837897445425,0.00259999689998966,0.796197562259688,0.0449663221796847,0.00683215515963874,0.0497007666148905,0.00523012090866121,0.0171825791488865,0.00234563637282868,0.0229658729476522,0.00639952490416887,0.0300000000000296,0.0799999999999841
1,"triangular","continuous",1,0.25,0.1,100,5,5,5,"Conditional_MI","ppd",0.381543933644139,0.075390912972914,NA,NA,0.0924033155978434,0.0148060564960049,0.356680484542494,0.0139177930620833,0.00468789870628616,0.815823351333925,0.0424493871674669,0.0122550203046988,0.0453025094301946,0.0144760511648114,0.0198484148183545,0.00758276855368441,0.0232478415731289,0.0105341523004814,3.00999999999999,3.38
1,"triangular","continuous",1,0.25,0.1,100,5,5,5,"Complete_Case_Analysis","pmm",NA,NA,NA,NA,0.0122471456908084,0.000439896753724606,1.02860288816788,0.0290829990971687,0.00433023914827938,2.94751857863815,0.0216159927478649,0.00152721216497677,NA,NA,0.0424136592527763,0.0139184279929962,NA,NA,NA,0.00999999999999091
1,"triangular","continuous",1,0.25,0.1,100,5,5,5,"Joint_MVN_MI_Amelia","pmm",0.404643035190904,0.0524784999775694,NA,NA,0.0137606088602927,1.5331135320984e-05,1.79806264480752,0.0265191009378424,0.00597782968311426,2.93373295016619,0.0311620476227461,0.00728328832763847,0.0313461506750392,0.00488902078829308,0.0449863251737049,0.0096134313080545,0.0473835518309266,0.00793825500800322,0.0199999999999818,0.110000000000014
1,"triangular","continuous",1,0.25,0.1,100,5,5,5,"Joint_MVN_MI_Norm","pmm",0.390360612300154,0.0164082468451476,NA,NA,0.0214595766373591,0.00206401016801697,2.62378398106536,0.0360411671166821,0.0039886417535616,3.74129509283207,0.0348693465705916,0.00818033338579637,0.0378649916047179,0.0111402659871959,0.0490799828738171,0.011736757283917,0.0535078561368615,0.0159432749981519,0.0199999999999818,0.0799999999999841
1,"triangular","continuous",1,0.25,0.1,100,5,5,5,"Conditional_MI","pmm",0.412467021086341,0.0323476698249633,NA,NA,0.0149397896371748,0.00516591822703505,1.66466859418496,0.0343316417501675,0.00302052212425604,3.03538706869787,0.0293268469139931,0.0107745059585799,0.0301608220035036,0.0127868026047472,0.0435058145085542,0.0148243445064509,0.0481958867788386,0.0197009875433444,2.88999999999999,3.13
1,"triangular","continuous",1,0.25,0.2,100,5,5,5,"Complete_Case_Analysis","ppd",NA,NA,NA,NA,0.0460857679156962,0.0186902756269396,4.35225321402022,0.178039446276941,0.0312978154775733,26.5637054824031,0.0669662802157642,0.0359543015028991,NA,NA,0.314983075198853,0.0616834426802918,NA,NA,NA,0.0200000000000387
1,"triangular","continuous",1,0.25,0.2,100,5,5,5,"Joint_MVN_MI_Amelia","ppd",0.979071793092863,0.156403953970855,NA,NA,0.027999546704504,0.0125247067040244,1.63911826723319,0.0923864466973538,0.0381245948060955,2.37640629390472,0.0518677072783586,0.0143421528937973,0.0572939408630226,0.023214256134301,0.104058229808165,0.00258201698428728,0.118647063813063,0.0164414213211169,0.00999999999999091,0.0799999999999841
1,"triangular","continuous",1,0.25,0.2,100,5,5,5,"Joint_MVN_MI_Norm","ppd",1.00849501985825,0.105193430375293,NA,NA,0.0376025681236141,0.0162295522940075,2.91564179176625,0.10457234395194,0.0530004637098788,4.20598424090153,0.0598944707196909,0.017041977748498,0.0764144701689074,0.0351174667006291,0.132276387030563,0.0120010197917236,0.15788505060273,0.00683515575907478,0,0.0600000000000023
1,"triangular","continuous",1,0.25,0.2,100,5,5,5,"Conditional_MI","ppd",1.0240345387788,0.106879793205618,NA,NA,0.0396885724381508,0.0251534821224362,3.3946298645094,0.112952625249439,0.0702920252048597,4.74268030846694,0.0648097049748146,0.0210527427083846,0.0824538258585554,0.0439177714325313,0.140945939183766,0.0328958826539276,0.167654392438781,0.0389420449731176,2.81,2.92000000000002
