"Iteration","restriction","var.Type","no.Var.Missing","miss.Rate.Y","miss.Rate.X","N","no.Var.Observed","no.Category","no.Imputation","analysis.Method","imp.Method","Imputed.Values.RMSE","Imputed.Values.Bias","Choice.Prob.RMSE","Choice.Prob.Bias","mdl.X1.coef.RMSE","mdl.X1.coef.Bias","mdl.X1.coef.MNS","mdl.Y.coef.RMSE","mdl.Y.coef.Bias","mdl.Y.coef.MNS","mdl.X1.fitted.RMSE","mdl.X1.fitted.Bias","mdl.X1.fitted.All.RMSE","mdl.X1.fitted.All.Bias","mdl.Y.fitted.RMSE","mdl.Y.fitted.Bias","mdl.Y.fitted.All.RMSE","mdl.Y.fitted.All.Bias","time.to.MI.Convergence","time.to.MI.Analyze"
1,"triangular","continuous",1,0.25,0.1,1000,5,5,5,"Complete_Case_Analysis","ppd",NA,NA,NA,NA,0.0415586849723102,0.0149536861334463,42.2567667638572,0.0245914173216761,0.00289214619280829,3.28761136368659,0.0883378011290617,0.0670045205255416,NA,NA,0.0371542557500132,0.0159324815355714,NA,NA,NA,0.100000000000023
1,"triangular","continuous",1,0.25,0.1,1000,5,5,5,"Joint_MVN_MI_Amelia","ppd",1.02946263466375,0.124757381144742,NA,NA,0.0218047754273384,0.00928935881881374,4.99733673799525,0.0311025112610976,0.00377085224368093,4.90426103599406,0.0367057995276292,0.00717657727599472,0.0374660292314973,0.00572863723809003,0.0442324352708914,0.018687740731698,0.0497481397806957,0.0270637948260454,0.0799999999999272,0.449999999999932
1,"triangular","continuous",1,0.25,0.1,1000,5,5,5,"Joint_MVN_MI_Norm","ppd",1.04432805719362,0.0705659898639335,NA,NA,0.0202506472392699,0.00944504792567233,4.33638314080335,0.0265660809996304,0.0025482713935693,3.10314619160648,0.0338752719850447,0.00463418069396754,0.0349005447234364,0.00134441704328346,0.0372146987855146,0.0113588740252532,0.0395718459611334,0.0164032086471206,0.0299999999999727,0.190000000000055
1,"triangular","continuous",1,0.25,0.1,1000,5,5,5,"Conditional_MI","ppd",1.06920025346604,0.0903235983490058,NA,NA,0.0156097118829156,0.00503196521320229,2.94238075407851,0.0206867992463582,0.006651124860753,3.97890622375157,0.0282557368872449,0.00607496824218524,0.0287487763158898,0.00417263421685228,0.04062926502236,0.0158103487905943,0.0448107917118988,0.0222094977192004,3.68999999999994,4.29999999999995
1,"triangular","continuous",1,0.25,0.1,1000,5,5,5,"Complete_Case_Analysis","pmm",NA,NA,NA,NA,0.0404090267470269,0.0246231457062589,16.624138014307,0.0284803949572043,0.0125498311558092,6.48633944349416,0.0893026164899587,0.0380488090178862,NA,NA,0.0501252663192487,0.00139665136629862,NA,NA,NA,0.00999999999999091
1,"triangular","continuous",1,0.25,0.1,1000,5,5,5,"Joint_MVN_MI_Amelia","pmm",0.891491234883764,0.0436444623919062,NA,NA,0.0131864616293871,0.00691141823141757,0.403986280777052,0.0257658049737437,0.0162515276702268,5.46325816201784,0.0148096353984193,0.00404806109232368,0.0151469986098387,0.00192751761731139,0.0454241435842605,0.0110866086367771,0.0458200636094398,0.00535531845523097,0.07000000000005,0.240000000000009
1,"triangular","continuous",1,0.25,0.1,1000,5,5,5,"Joint_MVN_MI_Norm","pmm",0.869635018035257,0.0279828717889893,NA,NA,0.00579808387890794,0.00150485197940408,0.385459498830822,0.026809118545258,0.0163261728162436,3.96380255426611,0.014891237871652,0.00292745472401511,0.0147969818545354,0.00115740692873906,0.0379705636318038,0.00168548937875339,0.0390282576197311,0.00269799197805952,0.0300000000000864,0.150000000000091
1,"triangular","continuous",1,0.25,0.1,1000,5,5,5,"Conditional_MI","pmm",0.896224961896055,0.0387963814376017,NA,NA,0.0133709964294979,0.00634361638349918,0.303102765893432,0.0267988753269834,0.0161438446052659,5.16387575967504,0.0126660886351411,0.00267103499223566,0.0131195625642164,0.00135829162447938,0.0438109659394547,0.0115680099199278,0.0445467378915988,0.00835170260353089,3.48000000000002,3.81999999999994
1,"triangular","continuous",1,0.25,0.2,1000,5,5,5,"Complete_Case_Analysis","ppd",NA,NA,NA,NA,0.0723578900851938,0.0101542591999058,59.5598069376915,0.0202641762800367,0.00606541998082699,5.56551865806283,0.125634844524824,0.102857818452987,NA,NA,0.0397696824621445,0.000533420084062861,NA,NA,NA,0.0299999999999727
1,"triangular","continuous",1,0.25,0.2,1000,5,5,5,"Joint_MVN_MI_Amelia","ppd",0.865938127581981,0.107512994801012,NA,NA,0.015588835378118,0.000637000445414232,3.13802487706367,0.0209303334057479,0.0049567732037249,7.6841104766427,0.0320150681586143,0.00954010493001636,0.036178204160945,0.0179990436753095,0.0445615044608245,0.0096073092560195,0.0541821189530647,0.02670818868908,0.07000000000005,0.160000000000082
1,"triangular","continuous",1,0.25,0.2,1000,5,5,5,"Joint_MVN_MI_Norm","ppd",0.864230461416183,0.0796505123074706,NA,NA,0.0110884666959262,2.09446253083487e-05,2.02502459743691,0.0154993559831133,0.00612909496953215,5.16515248847363,0.027246672004453,0.0081036245413483,0.0290626815915301,0.0134902977892962,0.0392795507764386,0.00770043307890641,0.0444223650435528,0.0194868927873026,0.0299999999999727,0.120000000000005
1,"triangular","continuous",1,0.25,0.2,1000,5,5,5,"Conditional_MI","ppd",0.902678545511466,0.0959827111852958,NA,NA,0.0130042313342348,0.00130440990196568,2.50665128770173,0.0185916392101576,0.00787712110891128,5.97759277922247,0.0293131474395141,0.009807319107311,0.0323345664153669,0.0161863490477802,0.0383186469650143,0.00677934704951737,0.0477883645864151,0.0226854994912863,3.44000000000005,3.82999999999993
